product_id|product_name|car_brand|car_type|swept_volume|productive_date|price_of_distributor|price_of_purchase|price_of_retail|product_category
8W0698151AD|欧标片(前)|奥迪|A5|2.0T|2017.06-|¥268.0|¥370.0|¥740.0|刹车-蹄片
|欧标片(前)|大众|高尔夫|1.2T|2017.11-|¥150.0|¥200.0|¥400.0|刹车-蹄片
|欧标片(后)|大众|高尔夫|1.2T|2017.11-|¥130.0|¥170.0|¥340.0|刹车-蹄片
|欧标片(前)|路虎|揽胜运动版新能源|2.0T|2017.11-|¥492.0|¥690.0|¥1,380.0|刹车-蹄片
|欧标片(后)|路虎|揽胜运动版新能源|2.0T|2017.11-|¥359.0|¥430.0|¥860.0|刹车-蹄片
|欧标片(前)|路虎|揽胜星脉,17"|2.0T|2017.12-|¥268.0|¥360.0|¥720.0|刹车-蹄片
|欧标片(前)|路虎|揽胜星脉,18"|2.0T|2017.12-|¥320.0|¥450.0|¥900.0|刹车-蹄片
|欧标片(后)|路虎|揽胜星脉|2.0T|2017.12-|¥235.0|¥320.0|¥640.0|刹车-蹄片
|欧标片(前)|路虎|XEL|2.0T|2017.12-|¥300.0|¥420.0|¥840.0|刹车-蹄片
|欧标片(后)|路虎|XEL|2.0T|2017.12-|¥235.0|¥320.0|¥640.0|刹车-蹄片
31423652|欧标片(前)|沃尔沃|XC60,17"|2.0T T4/T5|2017.12-|¥218.0|¥310.0|¥620.0|刹车-蹄片
|欧标片(前)|沃尔沃|XC60,18"|2.0T T4/T5|2017.12-|¥260.0|¥350.0|¥700.0|刹车-蹄片
|欧标片(后)|沃尔沃|XC60,18"|2.0T T4/T5|2017.12-|¥235.0|¥320.0|¥640.0|刹车-蹄片
|欧标片(前)|讴歌|TLX-L|2.4L|2017.12-|¥175.0|¥230.0|¥460.0|刹车-蹄片
|陶瓷片(后)|讴歌|TLX-L|2.4L|2017.12-|¥180.0|¥250.0|¥500.0|刹车-蹄片
|陶瓷片(后)|日产|T70|1.4T|2017.12-|¥101.0|¥130.0|¥260.0|刹车-蹄片
|陶瓷片(后)|日产|T70|1.6L|2017.12-|¥101.0|¥130.0|¥260.0|刹车-蹄片
|陶瓷片(后)|日产|T70|2.0L|2017.12-|¥101.0|¥130.0|¥260.0|刹车-蹄片
|全能片(前)|名爵|MG 6|1.5T|2017.11-|¥150.0|¥200.0|¥400.0|刹车-蹄片
|欧标片(后)|名爵|MG 6|1.5T|2017.11-|¥130.0|¥170.0|¥340.0|刹车-蹄片
|全能片(前)|荣威|360 Plus|1.5L|2017.11-|¥125.0|¥160.0|¥320.0|刹车-蹄片
|欧标片(后)|荣威|360 Plus|1.5L|2017.11-|¥74.0|¥100.0|¥200.0|刹车-蹄片
|全能片(前)|荣威|RX3|1.3T|2017.11-|¥125.0|¥160.0|¥320.0|刹车-蹄片
|全能片(前)|荣威|RX3|1.6L|2017.11-|¥125.0|¥160.0|¥320.0|刹车-蹄片
|全能片(后)|荣威|RX3|1.6L|2017.11-|¥90.0|¥120.0|¥240.0|刹车-蹄片
8835001CAD0000|陶瓷片(前)|传祺|GM8|2.0T|2017.12-|¥188.0|¥250.0|¥500.0|刹车-蹄片
3520001CADS010|陶瓷片(后)|传祺|GM8|2.0T|2017.12-|¥110.0|¥150.0|¥300.0|刹车-蹄片
4M0 698 151H/AM|欧标片(前)|奥迪|Q7|2.0T/3.0T|2015.12-|¥388.0|¥540.0|¥1,080.0|刹车-蹄片
A007 420 88 20=006 420 65 20|欧标片(前)|奔驰|E500 (A207) 轿跑两门|4.7|2011.09-|¥340.0|¥480.0|¥960.0|刹车-蹄片
A0084201720|欧标片(前)|奔驰|C-系列 (W205)|2.0|2015.06-|¥338.0|¥470.0|¥940.0|刹车-蹄片
YL00258980|欧标片(后)|雪铁龙|C6|1.6T/1.8T|2016.10-|¥135.0|¥180.0|¥360.0|刹车-蹄片
YL00342580|全能片(前)|雪铁龙|爱丽舍|1.6L|2017.02-|¥100.0|¥130.0|¥260.0|刹车-蹄片
13435253|陶瓷片(前)|雪佛兰|科鲁兹 XL (高配)|1.5L/1.4T|2016.07-|¥130.0|¥170.0|¥340.0|刹车-蹄片
23326280|陶瓷片(前)|别克|全新君越(16")|1.5T/1.8L|2016.03-|¥168.0|¥220.0|¥440.0|刹车-蹄片
23326280|陶瓷片(前)|雪佛兰|迈锐宝 XL|1.5T/2.5L|2016.02-|¥168.0|¥220.0|¥440.0|刹车-蹄片
23326280|陶瓷片(前)|雪佛兰|探界者|1.5T|2017.04-|¥168.0|¥220.0|¥440.0|刹车-蹄片
45022-THA-H00|陶瓷片(前)|本田|冠道|2.0T|2016.10-|¥165.0|¥210.0|¥420.0|刹车-蹄片
45022-THA-H00|陶瓷片(前)|本田|冠道|1.5T|2017.03-|¥165.0|¥210.0|¥420.0|刹车-蹄片
45022-THA-H00|陶瓷片(前)|本田|UR-V|1.5T/2.0T|2017.03-|¥165.0|¥210.0|¥420.0|刹车-蹄片
45022-THA-H00|陶瓷片(前)|本田|CR-V|2.0L 混动|2017.07-|¥165.0|¥210.0|¥420.0|刹车-蹄片
43022-THA-H00|陶瓷片(后)|本田|冠道|2.0T|2016.10-|¥128.0|¥170.0|¥340.0|刹车-蹄片
43022-THA-H00|陶瓷片(后)|本田|冠道|1.5T|2017.03-|¥128.0|¥170.0|¥340.0|刹车-蹄片
43022-THA-H00|陶瓷片(后)|本田|UR-V|1.5T/2.0T|2017.03-|¥128.0|¥170.0|¥340.0|刹车-蹄片
43022-THA-H00|陶瓷片(后)|本田|CR-V|2.0L 混动|2017.07-|¥128.0|¥170.0|¥340.0|刹车-蹄片
KAY0-26-48Z|陶瓷片(后)|马自达|CX-5|2.0/2.5|2014-|¥130.0|¥170.0|¥340.0|刹车-蹄片
K58302C0A00|陶瓷片(后)|起亚|KX7|2.0L/2.0T/2.4L|2017.03-|¥140.0|¥180.0|¥360.0|刹车-蹄片
23905226|全能片(前)|五菱|宝骏310|1.2|2016.09-|¥95.0|¥120.0|¥240.0|刹车-蹄片
K58101C0A00|陶瓷片(前)|起亚|KX7|2.0L/2.0T/2.4L|2017.03-|¥175.0|¥230.0|¥460.0|刹车-蹄片
L6RD 698 151|欧标片(前)|大众|捷达|1.5L|2016.12-|¥135.0|¥180.0|¥360.0|刹车-蹄片
3501110XKU0PA|陶瓷片(前)|长城|Wey VV7|2.0T|2017.04-|¥175.0|¥230.0|¥460.0|刹车-蹄片
SE3502300|全能片(后)|比亚迪|S7|1.5T|2015.05-|¥90.0|¥120.0|¥240.0|刹车-蹄片
SE3502300|全能片(后)|比亚迪|S7|2.0T|2014.10-|¥90.0|¥120.0|¥240.0|刹车-蹄片
J11-6AD3502180|制动蹄(后)|奇瑞|E3|1.5|2013.09-|¥80.0|¥100.0|¥200.0|刹车-蹄片
A003501131|全能片(前)|长丰|猎豹 CS10|2.0|2015.04-|¥186.0|¥230.0|¥460.0|刹车-蹄片
A0004208000|欧标片(前)|奔驰|GLC260|2.0T 4X4|2015.11-|¥370.0|¥520.0|¥1,040.0|刹车-蹄片
|鼓式刹车蹄(后)|五菱|宝骏310|1.2|2016.09-|¥70.0|¥90.0|¥180.0|刹车-蹄片
|全能片(前)|五菱|宝骏510|1.5L|2017.01-|¥95.0|¥125.0|¥250.0|刹车-蹄片
|欧标片(后)|别克|GL8 I|3.0|2000/08-2005/11|¥94.0|¥120.0|¥240.0|刹车-蹄片
|陶瓷片(后)|别克|GL8 I|3.0|2000/08-2005/11|¥108.0|¥140.0|¥280.0|刹车-蹄片
|欧标片(前)|雷诺|大风景III(JZ0/1)|2.016V(J20G)|2009/02-|¥220.0|¥280.0|¥560.0|刹车-蹄片
|欧标片(前)|雷诺|纬度(L70_)|2.0|2011/02-|¥240.0|¥310.0|¥620.0|刹车-蹄片
|陶瓷片(前)|福特|金牛座|1.5T|2016.07-|¥175.0|¥240.0|¥480.0|刹车-蹄片
|陶瓷片(前)|林肯|大陆|2.0T/3.0T|2016.11-|¥175.0|¥240.0|¥480.0|刹车-蹄片
|陶瓷片(前)|福特|锐界|2.0T|2015/04-|¥175.0|¥240.0|¥480.0|刹车-蹄片
|陶瓷片(前)|福特|金牛座|2.0T|2015/11-|¥175.0|¥240.0|¥480.0|刹车-蹄片
|陶瓷片(前)|福特|金牛座|2.7T|2015/11-|¥175.0|¥240.0|¥480.0|刹车-蹄片
|陶瓷片(前)|林肯|MKX|2.0T|2015/10-|¥175.0|¥240.0|¥480.0|刹车-蹄片
|陶瓷片(前)|林肯|MKX|2.7T|2015/10-|¥175.0|¥240.0|¥480.0|刹车-蹄片
|陶瓷片(前)|福特|锐界|2.0T4X4|2015/04-|¥185.0|¥250.0|¥500.0|刹车-蹄片
|陶瓷片(前)|福特|锐界|2.7T4X4|2015/04-|¥185.0|¥250.0|¥500.0|刹车-蹄片
31423652|欧标片(前)|沃尔沃|S90|2.0T|2016.12-|¥218.0|¥310.0|¥620.0|刹车-蹄片
S11-3AH3502170|制动蹄(后)|奇瑞|EQ纯电动车||2017-|¥66.0|¥85.0|¥170.0|刹车-蹄片
|欧标片(前)|奇瑞|EQ纯电动车||2017-|¥93.0|¥120.0|¥240.0|刹车-蹄片
|欧标片(后)|林肯|领航员|3.5T|2015.11-|¥280.0|¥400.0|¥800.0|刹车-蹄片
|欧标片(后)|沃尔沃|S60 Polestar|2.0T|2016.09-|¥275.0|¥260.0|¥520.0|刹车-蹄片
|欧标片(后)|沃尔沃|V60 Polestar|2.0T|2016.09-|¥275.0|¥260.0|¥520.0|刹车-蹄片
|全能片(前)|起亚|赛拉图三厢车|1.6|2010.07-|¥93.0|¥120.0|¥240.0|刹车-蹄片
|欧标片(后)|宝马|318i(F30,F35)|1.5T|2016.09-|¥249.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|宝马|318Li(F30,F35)|1.5T|2016.09-|¥249.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|宝马|320i M(F30,F35)|2.0T|2016.09-|¥249.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|宝马|320Li M(F30,F35)|2.0T|2016.09-|¥249.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|宝马|320Li(F30,F35)|2.0T|2016.09-|¥249.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|宝马|320Li xDrive(F30,F35)|2.0T|2016.09-|¥249.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|宝马|330Li M(F30,F35)|2.0T|2016.09-|¥249.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|宝马|330Li xDrive(F30,F35)|2.0T|2016.09-|¥249.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(前)|马自达|马自达8|2.5|2012/11-|¥230.0|¥300.0|¥600.0|刹车-蹄片
|欧标片(前)|马自达|CX-7|2.3T|2014/07-|¥230.0|¥300.0|¥600.0|刹车-蹄片
|欧标片(前)|马自达|CX-7|2.5|2014/07-|¥230.0|¥300.0|¥600.0|刹车-蹄片
|欧标片(前)|马自达|CX-9|3.7|2012/11-|¥230.0|¥300.0|¥600.0|刹车-蹄片
|欧标片(前)|福特|锐界 (U387)|2.0T|2012/07-2015|¥230.0|¥300.0|¥600.0|刹车-蹄片
|欧标片(前)|福特|锐界 (U387)|3.5|2010/12-|¥230.0|¥300.0|¥600.0|刹车-蹄片
|欧标片(后)|马自达|马自达8|2.5|2012/11-|¥170.0|¥220.0|¥440.0|刹车-蹄片
|欧标片(后)|马自达|CX-7|2.3T|2014/07-|¥170.0|¥220.0|¥440.0|刹车-蹄片
|欧标片(后)|马自达|CX-7|2.5|2014/07-|¥170.0|¥220.0|¥440.0|刹车-蹄片
|欧标片(后)|马自达|CX-9|3.7|2012/11-|¥170.0|¥220.0|¥440.0|刹车-蹄片
|欧标片(后)|福特|锐界 (U387)|2.0T|2012/07-2013|¥170.0|¥220.0|¥440.0|刹车-蹄片
|欧标片(后)|福特|锐界 (U387)|3.5|2010/12-2013|¥170.0|¥220.0|¥440.0|刹车-蹄片
|欧标片(后)|福特|锐界 (U387)|2.0T|2013-2015|¥170.0|¥220.0|¥440.0|刹车-蹄片
|欧标片(后)|福特|锐界 (U387)|3.5|2013-|¥170.0|¥220.0|¥440.0|刹车-蹄片
|欧标片(后)|福特|探险者 (U251)|3.5Ti-VCTAWD|2013/03-|¥170.0|¥220.0|¥440.0|刹车-蹄片
|欧标片(后)|福特|探险者|2.3T|2015/10-|¥170.0|¥220.0|¥440.0|刹车-蹄片
|欧标片(后)|福特|探险者|3.5T|2015/10-|¥170.0|¥220.0|¥440.0|刹车-蹄片
|欧标片(前)|奔驰|B180(W245)|1.7|2009/04-2011/11|¥284.0|¥390.0|¥780.0|刹车-蹄片
|欧标片(前)|奔驰|A180(W169)|1.7|2009/04-2012/06|¥284.0|¥390.0|¥780.0|刹车-蹄片
|欧标片(前)|奔驰|A170(W169)|1.7|2004/09-2012/06|¥284.0|¥390.0|¥780.0|刹车-蹄片
PR-2EA|欧标片(后)|奥迪|Q7(4L)|3.0TDI|2009/09-|¥222.0|¥310.0|¥620.0|刹车-蹄片
PR-2EA|欧标片(后)|奥迪|Q7(4L)|3.6FSI|2006/08-|¥222.0|¥310.0|¥620.0|刹车-蹄片
PR-2EA|欧标片(后)|保时捷|卡宴(955)|TurboS4.5|2004/01-|¥222.0|¥310.0|¥620.0|刹车-蹄片
PR-2EA|欧标片(后)|保时捷|卡宴(955)|3.2|2003/10-2007/09|¥222.0|¥310.0|¥620.0|刹车-蹄片
|欧标片(后)|道奇|酷威|2.4/2.7|2009/03-|¥170.0|¥230.0|¥460.0|刹车-蹄片
|欧标片(后)|菲亚特|菲跃|2.4|2012/01-|¥170.0|¥230.0|¥460.0|刹车-蹄片
|欧标片(后)|菲亚特|菲跃|3.6|2013/04-|¥170.0|¥230.0|¥460.0|刹车-蹄片
|欧标片(前)|道奇|酷威|2.4/2.7|2009/03-|¥190.0|¥260.0|¥520.0|刹车-蹄片
|欧标片(前)|菲亚特|菲跃|2.4|2012/01-|¥190.0|¥260.0|¥520.0|刹车-蹄片
|欧标片(前)|菲亚特|菲跃|3.6|2013/04-|¥190.0|¥260.0|¥520.0|刹车-蹄片
|欧标片(前)|吉普|牧马人III(JK)|2.8CRFI|2007/04-|¥190.0|¥260.0|¥520.0|刹车-蹄片
|欧标片(前)|吉普|牧马人III(JK)|3.0sahara|2014/01-|¥190.0|¥260.0|¥520.0|刹车-蹄片
|欧标片(前)|吉普|牧马人III(JK)|3.8iV6|2007/04-|¥190.0|¥260.0|¥520.0|刹车-蹄片
|欧标片(后)|马自达|马自达3|2.0|2005/12-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|马自达|马自达3|1.6|2010/07-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|马自达|马自达3|2.0|2010/07-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|马自达|马自达5|2.0|2010/12-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|雪铁龙|C5|2.0|2009/12-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|雪铁龙|C5|2.3|2009/12-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|雪铁龙|C5|3.0|2009/12-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|雪铁龙|C5|1.8T|2015/09-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|萨博|9-3Vector(YS3F)|2.0T|2002/09-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|萨博|9-3(YS3F)|1.8i|2004/01-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|福特|福克斯 两厢|1.8|2006/07-2010|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|福特|福克斯 两厢|2.0|2006/08-2010|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|福特|福克斯 三厢|1.8|2005/09-2010|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|福特|福克斯 三厢|2.0|2005/09-2010|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|海马|M5|1.6L|2014/05-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|沃尔沃|V40crosscountry|2.0T|2014/03-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|沃尔沃|V40crosscountry|2.0TT5AWD|2014/03-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|沃尔沃|V40|2.0|2013/04-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|沃尔沃|S40|2.0|2009/01-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|沃尔沃|S40|2.4i|2006/06-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|沃尔沃|S40|2.5T5|2006/06-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|沃尔沃|C30|2.4i|2006/10-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|欧宝|威达CGTS|2.216V|2003/08-2004/04|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|欧宝|威达C|2.216V|2003/08-2004/04|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|欧宝|威达C|2.2direct|2003/10-2004/05|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|标致|标致508|2.0|2011.7-2015.1|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|标致|标致508|2.3|2011.7-2015.1|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|捷豹|XF(_J05_,CC9)|2.0|2012/06-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|捷豹|XF(_J05_,CC9)|3.0|2008/03-|¥123.0|¥150.0|¥300.0|刹车-蹄片
|欧标片(后)|捷豹|XF(_J05_,CC9)|4.2|2008/03-|¥123.0|¥150.0|¥300.0|刹车-蹄片
31665837|欧标片(后)|沃尔沃|V90 Cross Country|2.0T|2017.04-|¥178.0|¥250.0|¥500.0|刹车-蹄片
31665837|欧标片(后)|沃尔沃|S90|2.0T|2016.12-|¥178.0|¥250.0|¥500.0|刹车-蹄片
31665837|欧标片(后)|沃尔沃|XC60,17"|2.0T T4/T5|2017.12-|¥178.0|¥250.0|¥500.0|刹车-蹄片
L8WD698151|欧标片(前)|奥迪|A4L(B9)|30TFSI|2016.09-|¥168.0|¥240.0|¥480.0|刹车-蹄片
